Frame,FPS,MemoryMB,BelowTarget
924,Infinity,1544.29,0
925,Infinity,1544.56,0
926,Infinity,1544.74,0
927,Infinity,1544.98,0
928,Infinity,1545.13,0
929,Infinity,1545.26,0
930,Infinity,1545.39,0
931,Infinity,1545.65,0
932,Infinity,1545.80,0
933,Infinity,1546.10,0
934,Infinity,1546.22,0
935,Infinity,1546.21,0
936,Infinity,1546.52,0
937,Infinity,1546.65,0
938,Infinity,1547.01,0
939,Infinity,1547.15,0
940,Infinity,1547.37,0
941,Infinity,1547.61,0
942,Infinity,1547.76,0
943,Infinity,1547.98,0
944,Infinity,1548.23,0
945,Infinity,1548.60,0
946,Infinity,1548.84,0
947,Infinity,1549.11,0
948,Infinity,1549.27,0
949,Infinity,1549.49,0
950,Infinity,1549.66,0
951,Infinity,1549.77,0
952,Infinity,1549.93,0
953,Infinity,1550.25,0
954,Infinity,1550.42,0
955,Infinity,1550.62,0
956,Infinity,1550.60,0
957,Infinity,1551.05,0
958,47.69,1550.87,1
959,58.95,1551.07,1
960,67.12,1551.24,0
961,189.62,1551.35,0
962,124.28,1551.40,0
963,185.63,1551.52,0
964,163.06,1551.70,0
965,112.22,1551.81,0
966,162.58,1551.97,0
967,160.04,1552.07,0
968,111.10,1552.10,0
969,55.52,1552.28,1
970,52.83,1552.55,1
971,94.70,1552.72,0
972,112.73,1552.78,0
973,168.26,1552.89,0
974,176.54,1553.01,0
975,118.24,1553.07,0
976,186.52,1553.13,0
977,176.18,1553.21,0
978,115.99,1553.26,0
979,156.84,1553.29,0
980,170.40,1553.31,0
981,117.14,1553.38,0
982,147.75,1553.36,0
983,177.27,1553.46,0
984,102.92,1553.53,0
985,169.19,1553.70,0
986,190.68,1553.80,0
987,110.13,1553.88,0
988,185.46,1553.54,0
989,158.00,1554.31,0
990,122.72,1554.35,0
991,146.27,1554.50,0
992,113.16,1554.62,0
993,159.58,1554.67,0
994,176.40,1554.70,0
995,114.28,1554.80,0
996,161.68,1554.84,0
997,151.63,1554.97,0
998,118.02,1555.04,0
999,157.87,1555.15,0
1000,186.87,1555.23,0
1001,107.54,1555.47,0
1002,186.61,1555.49,0
1003,151.06,1555.66,0
1004,113.77,1555.81,0
1005,165.14,1555.95,0
1006,164.03,1556.01,0
1007,110.60,1556.12,0
1008,156.63,1556.19,0
1009,105.53,1556.17,0
1010,153.66,1556.22,0
1011,170.25,1556.27,0
1012,113.17,1556.34,0
1013,181.28,1556.37,0
1014,163.82,1556.40,0
1015,108.64,1556.48,0
1016,169.50,1556.50,0
1017,170.11,1556.59,0
1018,116.33,1556.64,0
1019,155.58,1556.61,0
1020,171.40,1556.67,0
1021,98.04,1556.83,0
1022,183.16,1556.89,0
1023,102.96,1556.91,0
1024,Infinity,1557.04,0
1025,Infinity,1557.71,0
1026,Infinity,1557.86,0
1027,Infinity,1558.12,0
1028,Infinity,1558.29,0
1029,Infinity,1558.34,0
1030,Infinity,1558.73,0
